,overview,poster_path,release_date,title,genre1,genre2
0,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,2018-11-16,Green Book,18,35.0
1,"An other-worldly story, set against the backdrop of Cold War era America circa 1962, where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape.",/9zfwPffUXpBrEP26yp0q1ckXDcj.jpg,2017-12-01,The Shape of Water,18,14.0
2,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",/93NN95a71MsQ4tR2zSLv8BNK2qh.jpg,2016-10-21,Moonlight,18,
3,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",/gWkgMnIsd8Od7iyhEEKL5G4Qq6J.jpg,2015-11-06,Spotlight,18,53.0
4,"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",/lvWL5ZRlYFh7M7fOvYswcRqyprI.jpg,2014-08-27,Birdman or (The Unexpected Virtue of Ignorance),18,35.0
5,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",/xdANQijuNrJaw1HA61rDccME4Tm.jpg,2013-10-18,12 Years a Slave,18,36.0
6,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",/2HVkfkgY1nvWTCRj3H1zTmlghUG.jpg,2012-10-11,Argo,18,53.0
7,"Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break.",/khtVL4abxYczXAWbo1wAz13CLx3.jpg,2011-10-08,The Artist,18,35.0
8,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",/uQ538BfYLDJh3GXlzRZLo0j7PFj.jpg,2010-09-06,The King's Speech,18,36.0
9,"Forced to play a dangerous game of cat-and-mouse in the chaos of war, an elite Army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb.",/8SwjvOchYljr7tSKpNeHjpyPbg5.jpg,2008-10-10,The Hurt Locker,18,53.0
10,"Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of ‘Who Wants to Be a Millionaire?’ but, after he wins, he is suspected of cheating.",/5WU6uusqJrLfiBaNs3KpF4o8Lnj.jpg,2008-05-12,Slumdog Millionaire,18,10749.0
11,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",/6d5XOczc226jECq0LIX0siKtgHR.jpg,2007-11-08,No Country for Old Men,80,18.0
